"Country.x","Production_mt","country2","Country.y","NUE","N_output","N_input","N_loss"
"China",63392.745560142,"CHN","China",0.262367378,1267.85491120284,4832.36491086495,3564.50999966211
"United States of America",49028.5809283616,"USA","USA",0.507989461,980.571618567232,1930.29913777529,949.727519208054
"India",46141.2235507647,"IND","India",0.249920897,922.824471015294,3692.46622468426,2769.64175366897
"Russian Federation",46055.1914932202,"RUS","RussianFed",0.618786815,921.103829864404,1488.56408626678,567.460256402373
"France",37159.5808172092,"FRA","France",0.741859905,743.191616344184,1001.79509815156,258.603481807379
"Canada",25264.4340806335,"CAN","Canada",0.503382906,505.28868161267,1003.78593629214,498.497254679473
"Germany",23678.9742689133,"DEU","Germany",0.458604324,473.579485378266,1032.65377275044,559.074287372176
"Pakistan",20818.4968920047,"PAK","Pakistan",0.199840916,416.369937840094,2083.50695230047,1667.13701446037
"Turkey",20770.7443362416,"TUR","Turkey",0.422578931,415.414886724832,983.046849358498,567.631962633666
"Australia",18640.5620383301,"AUS","Australia",0.540884848,372.811240766602,689.261757183854,316.450516417252
